Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Steve Marlet,Forward,27,Olympique Lyon,Ligue 1,Fulham,Premier League,01-02,NA,17600000
Philippe Christanval,Defender,22,Monaco,Ligue 1,FC Barcelona,LaLiga,01-02,NA,17000000
Evanilson,Defender,25,Bor. Dortmund,1.Bundesliga,Parma,Serie A,01-02,NA,17000000
Robbie Fowler,Forward,26,Liverpool,Premier League,Leeds,Premier League,01-02,NA,16800000
Frank Lampard,Midfielder,23,West Ham,Premier League,Chelsea,Premier League,01-02,NA,16000000
Javi Moreno,Forward,26,Alavés,LaLiga,AC Milan,Serie A,01-02,NA,16000000
Luca Toni,Forward,24,Vicenza,Serie B,Brescia,Serie A,01-02,NA,15500000
Cristian Zenoni,Defender,24,AC Milan,Serie A,Juventus,Serie A,01-02,NA,15500000
Darko Kovacevic,Forward,27,Juventus,Serie A,Lazio,Serie A,01-02,NA,15000000
Michalis Konstantinou,Forward,23,Iraklis,Super League,Panathinaikos,Super League,01-02,NA,15000000
Massimo Donati,Midfielder,20,Atalanta,Serie A,AC Milan,Serie A,01-02,NA,15000000
Laurent Robert,Midfielder,26,Paris SG,Ligue 1,Newcastle,Premier League,01-02,NA,14330000
Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,AS Roma,Serie A,01-02,NA,14000000
Giovanni van Bronckhorst,Defender,26,Rangers, Scotland,Arsenal,Premier League,01-02,NA,13500000
Adriano,Forward,19,Flamengo, Brazil,Inter,Serie A,01-02,NA,13190000
Mohamed Kallon,Forward,21,Vicenza,Serie B,Inter,Serie A,01-02,NA,13000000
Goran Drulic,Forward,24,Red Star, Serbia,Real Zaragoza,LaLiga,01-02,NA,13000000
Andy Cole,Forward,30,Man Utd,Premier League,Blackburn,Premier League,01-02,NA,12200000
Dean Richards,Defender,27,Southampton,Premier League,Spurs,Premier League,01-02,NA,12150000
Simão,Midfielder,21,FC Barcelona,LaLiga,Benfica, Portugal,01-02,NA,12000000
Éric Carrière,Midfielder,28,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,01-02,NA,12000000
Daniel Van Buyten,Defender,23,Standard Liège,Jupiler Pro League,Marseille,Ligue 1,01-02,NA,11500000
Seth Johnson,Midfielder,22,Derby,Premier League,Leeds,Premier League,01-02,NA,11500000
Emmanuel Petit,Midfielder,30,FC Barcelona,LaLiga,Chelsea,Premier League,01-02,NA,11500000
Juan Carlos Valerón,Midfielder,26,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,01-02,NA,11000000
Cristiano Zanetti,Midfielder,24,AS Roma,Serie A,Inter,Serie A,01-02,NA,11000000
Diego Forlán,Forward,22,Independiente, Argentina,Man Utd,Premier League,01-02,NA,11000000
Mario Turdó,Forward,22,Celta de Vigo,LaLiga,Stade Rennais,Ligue 1,01-02,NA,10820000
Salva Ballesta,Forward,26,Atlético Madrid,LaLiga2,Valencia CF,LaLiga,01-02,NA,10800000
Corrado Grabbi,Forward,25,Ternana,Serie B,Blackburn,Premier League,01-02,NA,10700000
Jan Koller,Forward,28,RSC Anderlecht,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,01-02,NA,10500000
Marco Materazzi,Defender,27,Perugia,Serie A,Inter,Serie A,01-02,NA,10500000
Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Fulham,Premier League,01-02,NA,10300000
Martin Djetou,Defender,26,Monaco,Ligue 1,Parma,Serie A,01-02,NA,9750000
Gareth Southgate,Defender,30,Aston Villa,Premier League,Middlesbrough,Premier League,01-02,NA,9750000
Michael Ball,Defender,21,Everton,Premier League,Rangers, Scotland,01-02,NA,9750000
Hugo Leal,Midfielder,21,Atlético Madrid,LaLiga2,Paris SG,Ligue 1,01-02,NA,9500000
William Gallas,Defender,23,Marseille,Ligue 1,Chelsea,Premier League,01-02,NA,9300000
Martin Laursen,Defender,23,Hellas Verona,Serie A,Parma,Serie A,01-02,NA,9300000
Craig Bellamy,Midfielder,21,Coventry City,First Division,Newcastle,Premier League,01-02,NA,9000000
John Hartson,Forward,26,Coventry City,First Division,Celtic, Scotland,01-02,NA,9000000
Fábio Rochemback,Midfielder,19,Internacional, Brazil,FC Barcelona,LaLiga,01-02,NA,9000000
Lucas Bernardi,Midfielder,23,Marseille,Ligue 1,Monaco,Ligue 1,01-02,NA,9000000
Richard Wright,Goalkeeper,23,Ipswich,Premier League,Arsenal,Premier League,01-02,NA,9000000
Péguy Luyindula,Forward,22,R. Strasbourg,Ligue 2,Olympique Lyon,Ligue 1,01-02,NA,8800000
Edú Gaspar,Midfielder,23,Corinthians, Brazil,Arsenal,Premier League,01-02,NA,8750000
Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Monaco,Ligue 1,01-02,NA,8500000
Jan Vennegoor of Hesselink,Forward,22,FC Twente,Eredivisie,PSV Eindhoven,Eredivisie,01-02,NA,8400000
Tomás Repka,Defender,27,Fiorentina,Serie A,West Ham,Premier League,01-02,NA,8250000
Chris Kirkland,Goalkeeper,20,Coventry City,First Division,Liverpool,Premier League,01-02,NA,8200000
Claudio Pizarro,Forward,22,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,01-02,NA,8200000
Alex,Midfielder,23,Cruzeiro, Brazil,Parma,Serie A,01-02,NA,8000000
Darko Kovacevic,Forward,28,Lazio,Serie A,Real Sociedad,LaLiga,01-02,NA,8000000
Boudewijn Zenden,Midfielder,24,FC Barcelona,LaLiga,Chelsea,Premier League,01-02,NA,8000000
Patrik Andersson,Defender,29,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,01-02,NA,8000000
Bosko Balaban,Forward,22,Dinamo Zagreb, Croatia,Aston Villa,Premier League,01-02,NA,7800000
Hugo Ibarra,Defender,27,Boca Juniors, Argentina,FC Porto, Portugal,01-02,NA,7800000
Zlatan Ibrahimovic,Forward,19,Malmö FF, Sweden,AFC Ajax,Eredivisie,01-02,NA,7800000
Jermaine Jenas,Midfielder,18,Nottm Forest,First Division,Newcastle,Premier League,01-02,NA,7500000
Fernando Meira,Defender,23,Benfica, Portugal,VfB Stuttgart,1.Bundesliga,01-02,NA,7500000
Jason Euell,Forward,24,MK Dons,First Division,Charlton,Premier League,01-02,NA,7500000
Giuliano Giannichedda,Midfielder,26,Udinese Calcio,Serie A,Lazio,Serie A,01-02,NA,7500000
Robert Kovac,Defender,27,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,01-02,NA,7500000
Jon Macken,Forward,24,Preston NE,First Division,Man City,First Division,01-02,NA,7500000
Frédéric Née,Forward,26,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,01-02,NA,7500000
Don Hutchison,Midfielder,30,Sunderland,Premier League,West Ham,Premier League,01-02,NA,7500000
Lee Hughes,Forward,25,West Brom,First Division,Coventry City,First Division,01-02,NA,7500000
Peter Crouch,Forward,21,Portsmouth,First Division,Aston Villa,Premier League,01-02,NA,7500000
Jerzy Dudek,Goalkeeper,28,Feyenoord,Eredivisie,Liverpool,Premier League,01-02,NA,7400000
Ewerthon,Forward,20,Corinthians, Brazil,Bor. Dortmund,1.Bundesliga,01-02,NA,7100000
Marcelinho Paraíba,Midfielder,26,Grêmio, Brazil,Hertha BSC,1.Bundesliga,01-02,NA,7000000
Javier Chevantón,Forward,20,Danubio FC, Uruguay,Lecce,Serie A,01-02,NA,7000000
Cosmin Contra,Defender,25,Alavés,LaLiga,AC Milan,Serie A,01-02,NA,7000000
Camel Meriem,Midfielder,22,FC Sochaux,Ligue 1,G. Bordeaux,Ligue 1,01-02,NA,7000000
Jesper Blomqvist,Midfielder,27,Man Utd,Premier League,Everton,Premier League,01-02,NA,7000000
Nelson Vivas,Defender,31,Arsenal,Premier League,Inter,Serie A,01-02,NA,7000000
Milan Baros,Forward,20,Banik Ostrava, Czech Republic,Liverpool,Premier League,01-02,NA,7000000
Olof Mellberg,Defender,23,Racing,LaLiga2,Aston Villa,Premier League,01-02,NA,6800000
Szilard Nemeth,Forward,23,Inter Bratislava, Slovakia,Middlesbrough,Premier League,01-02,NA,6750000
Tomasz Radzinski,Forward,27,RSC Anderlecht,Jupiler Pro League,Everton,Premier League,01-02,NA,6750000
Claudio Reyna,Midfielder,28,Rangers, Scotland,Sunderland,Premier League,01-02,NA,6700000
Steed Malbranque,Midfielder,21,Olympique Lyon,Ligue 1,Fulham,Premier League,01-02,NA,6600000
Christian Ziege,Midfielder,29,Liverpool,Premier League,Spurs,Premier League,01-02,NA,6500000
Joan Capdevila,Defender,23,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,01-02,NA,6400000
Matteo Sereni,Goalkeeper,26,Sampdoria,Serie B,Ipswich,Premier League,01-02,NA,6250000
Bart Goor,Midfielder,28,RSC Anderlecht,Jupiler Pro League,Hertha BSC,1.Bundesliga,01-02,NA,6250000
John Arne Riise,Defender,20,Monaco,Ligue 1,Liverpool,Premier League,01-02,NA,6100000
Alex,Midfielder,24,Parma,Serie A,Cruzeiro, Brazil,01-02,NA,6000000
Luke Young,Defender,21,Spurs,Premier League,Charlton,Premier League,01-02,NA,6000000
Rory Delap,Midfielder,25,Derby,Premier League,Southampton,Premier League,01-02,NA,6000000
Goran Bunjevcevic,Defender,28,Red Star, Serbia,Spurs,Premier League,01-02,NA,6000000
Antonio Guayre,Midfielder,21,UD Las Palmas,LaLiga,Villarreal CF,LaLiga,01-02,NA,6000000
Gonzalo Sorondo,Defender,21,Defensor, Uruguay,Inter,Serie A,01-02,NA,6000000
Zoltan Sebescen,Defender,25,VfL Wolfsburg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,01-02,NA,6000000
Lamberto Zauli,Midfielder,30,Vicenza,Serie B,Bologna,Serie A,01-02,NA,6000000
Agustín Delgado,Forward,27,Necaxa, Mexico,Southampton,Premier League,01-02,NA,5750000
Joey Gudjónsson,Midfielder,21,RKC Waalwijk,Eredivisie,Real Betis,LaLiga,01-02,NA,5630000
Bernardo Romeo,Forward,24,San Lorenzo, Argentina,Hamburger SV,1.Bundesliga,01-02,NA,5620000
Paulo Wanchope,Forward,24,West Ham,Premier League,Man City,First Division,01-02,NA,5600000
Didier Domi,Defender,23,Newcastle,Premier League,Paris SG,Ligue 1,01-02,NA,5580000
Niko Kovac,Midfielder,29,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,01-02,NA,5500000
Shinji Ono,Midfielder,21,Urawa Reds,J1 - 2nd Stage,Feyenoord,Eredivisie,01-02,NA,5500000
Marius Niculae,Forward,20,Dinamo Bukarest, Romania,Sporting CP, Portugal,01-02,NA,5300000
Sylvain Legwinski,Midfielder,28,G. Bordeaux,Ligue 1,Fulham,Premier League,01-02,NA,5250000
Jon Harley,Defender,21,Chelsea,Premier League,Fulham,Premier League,01-02,NA,5250000
Nicolás Medina,Midfielder,19,Argentinos, Argentina,Sunderland,Premier League,01-02,NA,5250000
Ronaldinho,Midfielder,21,Grêmio, Brazil,Paris SG,Ligue 1,01-02,NA,5100000
Victor Agali,Forward,22,Hansa Rostock,1.Bundesliga,FC Schalke 04,1.Bundesliga,01-02,NA,5100000
Nihat Kahveci,Forward,22,Besiktas,Süper Lig,Real Sociedad,LaLiga,01-02,NA,5000000
César,Midfielder,26,São Caetano, Brazil,Lazio,Serie A,01-02,NA,5000000
Christian Panucci,Defender,28,Inter,Serie A,AS Roma,Serie A,01-02,NA,5000000
Ezequiel González,Midfielder,20,CA Rosario, Argentina,Fiorentina,Serie A,01-02,NA,5000000
Mantorras,Forward,19,Alverca, Portugal,Benfica, Portugal,01-02,NA,5000000
Eduardo Costa,Midfielder,18,Grêmio, Brazil,G. Bordeaux,Ligue 1,01-02,NA,5000000
Ümit Davala,Midfielder,28,Galatasaray,Süper Lig,AC Milan,Serie A,01-02,NA,5000000
Sander Westerveld,Goalkeeper,27,Liverpool,Premier League,Real Sociedad,LaLiga,01-02,NA,5000000
Lilian Laslandes,Forward,29,G. Bordeaux,Ligue 1,Sunderland,Premier League,01-02,NA,5000000
João Tomás,Forward,26,Benfica, Portugal,Real Betis,LaLiga,01-02,NA,5000000
Delfim,Midfielder,24,Sporting CP, Portugal,Marseille,Ligue 1,01-02,NA,5000000
Jörg Albertz,Midfielder,30,Rangers, Scotland,Hamburger SV,1.Bundesliga,01-02,NA,5000000
David James,Goalkeeper,30,Aston Villa,Premier League,West Ham,Premier League,01-02,NA,4800000
Aníbal Matellán,Defender,24,Boca Juniors, Argentina,FC Schalke 04,1.Bundesliga,01-02,NA,4800000
Jérôme Rothen,Midfielder,23,Troyes,Ligue 1,Monaco,Ligue 1,01-02,NA,4500000
Shota Arveladze,Forward,28,AFC Ajax,Eredivisie,Rangers, Scotland,01-02,NA,4500000
Marcus Bent,Forward,23,Blackburn,Premier League,Ipswich,Premier League,01-02,NA,4500000
Jardel,Forward,27,Galatasaray,Süper Lig,Sporting CP, Portugal,01-02,NA,4500000
Patrick M'Boma,Forward,31,Parma,Serie A,Sunderland,Premier League,01-02,NA,4500000
Matthew Jones,Midfielder,20,Leeds,Premier League,Leicester,Premier League,01-02,NA,4500000
James Scowcroft,Forward,25,Ipswich,Premier League,Leicester,Premier League,01-02,NA,4500000
Kenny Miller,Forward,22,Rangers, Scotland,Wolves,First Division,01-02,NA,4500000
Jacek Bak,Defender,28,Olympique Lyon,Ligue 1,Lens,Ligue 1,01-02,NA,4300000
Mido,Forward,18,KAA Gent,Jupiler Pro League,AFC Ajax,Eredivisie,01-02,NA,4200000
Pablo Contreras,Defender,22,Monaco,Ligue 1,Celta de Vigo,LaLiga,01-02,NA,4200000
Finidi George,Midfielder,30,RCD Mallorca,LaLiga,Ipswich,Premier League,01-02,NA,4200000
François Grenet,Defender,26,G. Bordeaux,Ligue 1,Derby,Premier League,01-02,NA,4190000
Lincoln,Midfielder,22,Atlético-MG, Brazil,1.FC K'lautern,1.Bundesliga,01-02,NA,4000000
Brahim Hemdani,Midfielder,23,R. Strasbourg,Ligue 2,Marseille,Ligue 1,01-02,NA,4000000
Mustapha Hadji,Midfielder,29,Coventry City,First Division,Aston Villa,Premier League,01-02,NA,4000000
Alberto Gilardino,Forward,19,Piacenza,Serie A,Hellas Verona,Serie A,01-02,NA,3870000
Mario Yepes,Defender,25,River Plate, Argentina,FC Nantes,Ligue 1,01-02,NA,3800000
Sylvinho,Defender,27,Arsenal,Premier League,Celta de Vigo,LaLiga,01-02,NA,3800000
John de Jong,Midfielder,24,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,01-02,NA,3800000
Toifilou Maoulida,Forward,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,01-02,NA,3800000
Tobias Linderoth,Midfielder,22,Stabaek IF,Eliteserien,Everton,Premier League,01-02,NA,3750000
Ilhan Mansiz,Forward,26,Samsunspor,Süper Lig,Besiktas,Süper Lig,01-02,NA,3750000
Ian Walker,Goalkeeper,29,Spurs,Premier League,Leicester,Premier League,01-02,NA,3750000
Gabriel Heinze,Defender,23,Real Valladolid,LaLiga,Paris SG,Ligue 1,01-02,NA,3500000
Maxwell,Defender,19,Cruzeiro, Brazil,AFC Ajax,Eredivisie,01-02,NA,3500000
Vitali Kutuzov,Forward,21,BATE Borisov,Vysheyshaya Liga,AC Milan,Serie A,01-02,NA,3500000
Yksel Osmanovski,Midfielder,24,Bari,Serie B,Torino,Serie A,01-02,NA,3500000
Jorge Bermúdez,Defender,30,Boca Juniors, Argentina,Olympiacos,Super League,01-02,NA,3500000
Gustavo Poyet,Midfielder,33,Chelsea,Premier League,Spurs,Premier League,01-02,NA,3400000
Abdeslam Ouaddou,Defender,22,AS Nancy,Ligue 2,Fulham,Premier League,01-02,NA,3300000
Stelios Venetidis,Defender,24,PAOK Saloniki,Super League,Olympiacos,Super League,01-02,NA,3300000
Jihai Sun,Defender,24,DL Shide, China,Man City,First Division,01-02,NA,3260000
Martin Petrov,Midfielder,22,Servette FC,1.Liga gr. 1,VfL Wolfsburg,1.Bundesliga,01-02,NA,3250000
Yildiray Bastürk,Midfielder,22,VfL Bochum,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,01-02,NA,3250000
Sebastian Kehl,Midfielder,21,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,01-02,NA,3200000
Olivier Monterrubio,Midfielder,24,FC Nantes,Ligue 1,Stade Rennais,Ligue 1,01-02,NA,3000000
Diego Klimowicz,Forward,27,Lanús, Argentina,VfL Wolfsburg,1.Bundesliga,01-02,NA,3000000
Christian Giménez,Forward,26,FC Lugano,Super League,FC Basel,Super League,01-02,NA,3000000
Ahmed Hassan,Midfielder,26,Denizlispor,Süper Lig,Genclerbirligi,Süper Lig,01-02,NA,3000000
Olivier Sorlin,Midfielder,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,01-02,NA,3000000
Rolan Gusev,Midfielder,24,Dinamo Moscow,Premier Liga,CSKA Moscow,Premier Liga,01-02,NA,3000000
Nils-Eric Johansson,Defender,21,1.FC Nuremberg,1.Bundesliga,Blackburn,Premier League,01-02,NA,3000000
Mark Kennedy,Defender,25,Man City,First Division,Wolves,First Division,01-02,NA,3000000
Christian Nerlinger,Midfielder,28,Bor. Dortmund,1.Bundesliga,Rangers, Scotland,01-02,NA,3000000
Hakan Ünsal,Defender,28,Galatasaray,Süper Lig,Blackburn,Premier League,01-02,NA,3000000
Christian Karembeu,Midfielder,30,Middlesbrough,Premier League,Olympiacos,Super League,01-02,NA,3000000
Alberto Fontana,Goalkeeper,34,SSC Napoli,Serie B,Inter,Serie A,01-02,NA,3000000
Jason McAteer,Midfielder,30,Blackburn,Premier League,Sunderland,Premier League,01-02,NA,3000000
Marco Reich,Midfielder,23,1.FC K'lautern,1.Bundesliga,1. FC Köln,1.Bundesliga,01-02,NA,3000000
Roy Carroll,Goalkeeper,23,Wigan, England,Man Utd,Premier League,01-02,NA,3000000
Jonathan Greening,Midfielder,22,Man Utd,Premier League,Middlesbrough,Premier League,01-02,NA,3000000
Zizi Roberts,Forward,22,Panionios,Super League,Olympiacos,Super League,01-02,NA,2900000
Miroslav Karhan,Midfielder,25,Besiktas,Süper Lig,VfL Wolfsburg,1.Bundesliga,01-02,NA,2750000
Francisco Rojas,Defender,26,Colo Colo, Chile,Sturm Graz,Bundesliga,01-02,NA,2660000
Colin Cameron,Midfielder,28,Heart of Midl., Scotland,Wolves,First Division,01-02,NA,2650000
Brett Ormerod,Forward,25,Blackpool, England,Southampton,Premier League,01-02,NA,2650000
Tiago,Midfielder,20,Braga, Portugal,Benfica, Portugal,01-02,NA,2500000
Ümit Karan,Forward,24,Genclerbirligi,Süper Lig,Galatasaray,Süper Lig,01-02,NA,2500000
Ali Karimi,Midfielder,22,Persepolis, Iran,Al-Ahli (UAE), United Arab Emirates,01-02,NA,2500000
Daniel Andersson,Defender,23,Bari,Serie B,Venezia,Serie A,01-02,NA,2500000
Fatih Akyel,Defender,23,Galatasaray,Süper Lig,RCD Mallorca,LaLiga,01-02,NA,2500000
Pierre van Hooijdonk,Forward,31,Benfica, Portugal,Feyenoord,Eredivisie,01-02,NA,2500000
Vladimir Janocko,Midfielder,24,AO Xanthi,Super League,Austria Vienna,Bundesliga,01-02,NA,2500000
Luigi Sala,Defender,27,AC Milan,Serie A,Atalanta,Serie A,01-02,NA,2500000
Pascal Nouma,Forward,29,Besiktas,Süper Lig,Marseille,Ligue 1,01-02,NA,2500000
Jurgen Cavens,Forward,22,Lierse SK,Jupiler Pro League,Standard Liège,Jupiler Pro League,01-02,NA,2500000
Peter Thorne,Forward,28,Stoke City, England,Cardiff, Wales,01-02,NA,2500000
Daniel Rossi,Midfielder,20,São Paulo, Brazil,Kawasaki Front.,J2 League,01-02,NA,2500000
Dennis Wise,Midfielder,34,Chelsea,Premier League,Leicester,Premier League,01-02,NA,2400000
Luís Boa Morte,Midfielder,23,Southampton,Premier League,Fulham,Premier League,01-02,NA,2300000
Mark Wilson,Midfielder,22,Man Utd,Premier League,Middlesbrough,Premier League,01-02,NA,2300000
Joonas Kolkka,Midfielder,26,PSV Eindhoven,Eredivisie,Panathinaikos,Super League,01-02,NA,2300000
Bruno Basto,Defender,23,Benfica, Portugal,G. Bordeaux,Ligue 1,01-02,NA,2280000
Mehdi Mahdavikia,Midfielder,23,Persepolis, Iran,Hamburger SV,1.Bundesliga,01-02,NA,2250000
Mate Bilic,Forward,20,Hajduk Split, Croatia,Real Zaragoza,LaLiga,01-02,NA,2250000
Lucién Mettomo,Defender,24,Saint-Étienne,Ligue 2,Man City,First Division,01-02,NA,2250000
Markus Weissenberger,Midfielder,26,Arm. Bielefeld,2.Bundesliga,1860 Munich,1.Bundesliga,01-02,NA,2250000
Nathan Blake,Forward,29,Blackburn,Premier League,Wolves,First Division,01-02,NA,2250000
Thomas Hengen,Defender,26,VfL Wolfsburg,1.Bundesliga,1.FC K'lautern,1.Bundesliga,01-02,NA,2250000
Edwin Zoetebier,Goalkeeper,31,Vitesse,Eredivisie,Feyenoord,Eredivisie,01-02,NA,2250000
Christian Negouai,Midfielder,23,RSC Charleroi,Jupiler Pro League,Man City,First Division,01-02,NA,2250000
Denis Lapaczinski,Midfielder,19,SSV Reutlingen,2.Bundesliga,Hertha BSC,1.Bundesliga,01-02,NA,2250000
Mark Draper,Midfielder,30,Aston Villa,Premier League,Southampton,Premier League,01-02,NA,2250000
Peter Crouch,Forward,20,QPR, England,Portsmouth,First Division,01-02,NA,2250000
Danny Dichio,Forward,26,Sunderland,Premier League,West Brom,First Division,01-02,NA,2240000
Joachim Björklund,Defender,30,Venezia,Serie A,Sunderland,Premier League,01-02,NA,2230000
Fredrik Berglund,Forward,22,Elfsborg, Sweden,Roda JC,Eredivisie,01-02,NA,2200000
Pieter Collen,Defender,21,NEC Nijmegen,Eredivisie,Feyenoord,Eredivisie,01-02,NA,2200000
Yann Lachuer,Midfielder,28,SC Bastia,Ligue 1,AJ Auxerre,Ligue 1,01-02,NA,2000000
Nenad Jestrovic,Forward,25,Exc. Mouscron,Jupiler Pro League,RSC Anderlecht,Jupiler Pro League,01-02,NA,2000000
Mbo Mpenza,Forward,25,Galatasaray,Süper Lig,Exc. Mouscron,Jupiler Pro League,01-02,NA,2000000
Andrés Fleurquín,Midfielder,26,Sturm Graz,Bundesliga,Galatasaray,Süper Lig,01-02,NA,2000000
Johan Walem,Midfielder,29,Udinese Calcio,Serie A,Standard Liège,Jupiler Pro League,01-02,NA,2000000
Yobanny Rivero,Midfielder,20,Trujillanos, Venezuela,Caracas FC, Venezuela,01-02,NA,2000000
Claudio Taffarel,Goalkeeper,35,Galatasaray,Süper Lig,Parma,Serie A,01-02,NA,2000000
Marc Wilmots,Midfielder,32,G. Bordeaux,Ligue 1,FC Schalke 04,1.Bundesliga,01-02,NA,2000000
Gheorghe Popescu,Defender,33,Galatasaray,Süper Lig,Lecce,Serie A,01-02,NA,2000000
Winston Parks,Forward,19,Limón FC,Primera Div. Apertura,Udinese Calcio,Serie A,01-02,NA,2000000
Tugay Kerimoglu,Midfielder,30,Rangers, Scotland,Blackburn,Premier League,01-02,NA,1950000
Ulrich Le Pen,Midfielder,27,FC Lorient,Ligue 1,Ipswich,Premier League,01-02,NA,1950000
Papa Bouba Diop,Midfielder,23,Grasshoppers,Super League,Lens,Ligue 1,01-02,NA,1800000
Nathan Ellington,Forward,20,Bristol Rovers, England,Wigan, England,01-02,NA,1800000
Adékambi Olufadé,Midfielder,21,KSC Lokeren,Jupiler Pro League,LOSC Lille,Ligue 1,01-02,NA,1800000
John Aloisi,Forward,25,Coventry City,First Division,CA Osasuna,LaLiga,01-02,NA,1800000
Thomas Gaardsöe,Defender,22,Aalborg BK, Denmark,Ipswich,Premier League,01-02,NA,1800000
Rio Ferdinand,Defender,23,Leeds,Premier League,Man Utd,Premier League,02-03,NA,46000000
Ronaldo,Forward,25,Inter,Serie A,Real Madrid,LaLiga,02-03,NA,45000000
Hernán Crespo,Forward,27,Lazio,Serie A,Inter,Serie A,02-03,NA,36000000
Alessandro Nesta,Defender,26,Lazio,Serie A,AC Milan,Serie A,02-03,NA,30500000
Fabio Cannavaro,Defender,28,Parma,Serie A,Inter,Serie A,02-03,NA,23000000
Clarence Seedorf,Midfielder,26,Inter,Serie A,AC Milan,Serie A,02-03,NA,22500000
Francesco Coco,Defender,25,AC Milan,Serie A,Inter,Serie A,02-03,NA,22500000
Matías Almeyda,Midfielder,28,Parma,Serie A,Inter,Serie A,02-03,NA,22100000
Marco Di Vaio,Forward,26,Parma,Serie A,Juventus,Serie A,02-03,NA,21000000
Nicolas Anelka,Forward,23,Paris SG,Ligue 1,Man City,Premier League,02-03,NA,15000000
Albert Luque,Midfielder,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,02-03,NA,15000000
El-Hadji Diouf,Forward,21,Lens,Ligue 1,Liverpool,Premier League,02-03,NA,15000000
Adriano,Forward,20,Inter,Serie A,Parma,Serie A,02-03,NA,14500000
Jonathan Woodgate,Defender,23,Leeds,Premier League,Newcastle,Premier League,02-03,NA,13500000
